county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue
orange,42190,180,4080,1107,8557,796,4710,10366,4186,4148,3153,228,487839,399.5,1977.5,586,206,2088154,166,49274.2,96,2617.8,2780423.5,2171.55,2614386.18,2041.87,94.0,286618.98,223.85,10.3,569874.41,445.08,20.5,323734.3,252.84,11.6,205491.37,160.49,7.4,283309.65,221.27,10.2,170148.05,132.89,6.1
osceola,6983,44,851,134,1447,82,794,1272,835,793,545,56,128170,202.7,748.4,143,44,141259,159,79678.8,54,434.6,675261.3,2091.49,654378.54,2026.81,96.9,172012.72,532.77,25.5,183505.52,568.37,27.2,19059.79,59.03,2.8,56466.46,174.89,8.4,81336.58,251.92,12.0,12654.06,39.19,1.9
palm beach,56336,440,5266,1372,9699,837,6607,14602,6741,4123,5616,269,664594,476.6,2282.1,280,141,1500545,1286,210014.2,178,24711.4,3066328.5,2203.23,2922522.59,2099.9,95.3,626350.34,450.05,20.4,851707.31,611.97,27.8,432603.44,310.84,14.1,238547.38,171.4,7.8,85695.68,61.57,2.8,82454.15,59.25,2.7
pasco,10872,100,1407,321,2235,107,1066,2218,1410,929,848,83,228928,198.6,840.6,78,50,375979,47,9669.6,61,208.7,797353.8,1608.0,696589.98,1404.79,87.4,154065.55,310.7,19.3,199884.49,403.1,25.1,175563.78,354.05,22.0,51832.01,104.53,6.5,12900.03,26.02,1.6,14984.46,30.22,1.9
pinellas,32960,50,3049,1328,6034,502,3925,7756,3929,3033,2755,183,503634,221.3,1076.0,186,102,721303,135,8484.8,316,359.5,1460857.3,1530.38,1337168.24,1400.81,91.5,265132.71,277.75,18.1,494525.17,518.06,33.9,251208.73,263.16,17.2,75511.55,79.11,5.2,70349.71,73.7,4.8,67091.12,70.28,4.6
polk,13250,279,1614,538,3145,126,1363,2346,1370,1130,1037,158,281214,462.2,1669.3,194,410,2430711,322,76201.2,133,1672.5,787959.1,1217.89,752137.16,1162.52,95.5,173590.49,268.31,22.0,237383.28,366.9,30.1,84567.56,130.71,10.7,81045.01,125.26,10.3,17290.02,26.72,2.2,62715.55,96.93,8.0
putnam,1443,48,184,48,317,14,104,191,190,143,122,67,37337,140.7,377.2,28,115,288379,243,63203.6,90,422.9,117127.7,1605.1,35918.45,1443.2,97.5,12452.79,500.35,33.8,7804.46,313.58,21.2,429.25,17.25,1.2,9110.08,366.04,24.7,1194.64,48.0,3.2,635.5,25.53,1.7
st johns,7274,59,732,157,1354,113,867,1744,760,750,591,61,64760,196.2,565.0,56,203,1394712,318,150361.5,74,1020.8,155793.9,932.85,162725.36,2585.28,98.8,27946.65,444.0,17.0,45020.47,715.26,27.3,10324.79,164.03,6.3,22515.34,357.71,13.7,34493.44,548.01,20.9,2221.1,35.29,1.3
st lucie,6425,84,977,196,1249,55,570,1189,833,529,551,97,228413,159.0,666.9,119,99,183075,69,29065.2,119,118.1,950202.8,2378.25,51114.07,1617.59,97.6,6037.33,191.06,11.5,15980.68,505.73,30.5,4510.21,142.73,8.6,3078.81,97.43,5.9,453.12,14.34,0.9,850.1,26.9,1.6
santa rosa,3399,57,524,89,621,24,369,672,353,294,272,74,181307,117.9,509.5,94,24,97142,78,11286.5,79,50.3,510093.7,1135.75,682782.18,1319.61,95.9,139221.58,269.07,19.5,174314.46,336.9,24.5,41452.07,80.11,5.8,93123.77,179.98,13.1,35234.12,68.1,4.9,20539.28,39.7,2.9
sarasota,15916,58,2138,443,2746,190,1937,3716,1840,1203,1368,99,89830,185.8,671.8,71,138,1293774,137,51982.0,304,2704.4,438127.1,1989.16,12884.01,810.98,94.9,2224.86,140.04,16.4,4435.24,279.17,32.7,1032.82,65.01,7.6,1981.18,124.7,14.6,583.08,36.7,4.3,283.9,17.87,2.1
seminole,14911,48,1723,503,2933,254,1667,3650,1613,1115,1168,80,137029,166.4,689.5,84,97,550029,317,9389.0,130,1592.2,349727.5,1194.32,37044.55,1648.04,97.8,4929.98,219.32,13.0,8660.78,385.3,22.9,1511.28,67.23,4.0,5652.64,251.47,14.9,1683.13,74.88,4.4,1888.65,84.02,5.0
sumter,1846,37,211,53,364,12,253,308,231,191,119,50,53026,132.2,417.0,47,113,667084,112,59558.4,21,546.3,136644.6,1152.37,66569.86,1501.05,95.0,8924.89,201.24,12.7,14575.39,328.65,20.8,3520.07,79.37,5.0,14089.99,317.71,20.1,2879.8,64.93,4.1,1104.82,24.91,1.6
suwannee,802,69,100,22,231,7,46,92,66,60,60,43,19164,128.8,332.3,26,137,638453,26,2849.7,59,830.9,70063.2,1579.81,140637.45,1186.04,102.9,29444.44,248.31,21.5,53442.94,450.7,39.1,1791.77,15.11,1.3,21439.75,180.81,15.7,1248.98,10.53,0.9,3275.31,27.62,2.4
taylor,435,20,32,23,135,5,18,45,39,50,34,30,11004,110.4,318.3,47,113,626908,162,76183.2,8,1081.6,37881.0,1685.25,348690.58,1190.78,99.7,74054.34,252.9,21.2,89423.71,305.38,25.6,34784.98,118.79,9.9,28223.48,96.38,8.1,6837.47,23.35,2.0,11042.07,37.71,3.2
union,203,9,36,7,46,1,11,25,24,11,8,24,4508,57.6,115.2,12,313,1782359,11,347.0,34,7219.5,13574.9,854.47,389871.59,1770.08,89.0,59969.34,272.27,13.7,121599.1,552.08,27.8,65716.13,298.36,15.0,38776.54,176.05,8.9,5463.32,24.8,1.2,12336.69,56.01,2.8
volusia,14295,125,1905,468,2875,145,1429,2678,1632,1475,1279,128,254226,359.6,1395.1,152,189,1442095,204,62951.5,221,1679.9,712331.2,1376.72,516631.27,1150.31,101.3,83832.62,186.66,16.4,186767.02,415.85,36.6,71067.84,158.24,13.9,76668.2,170.71,15.0,12480.99,27.79,2.4,18920.35,42.13,3.7
wakulla,536,12,103,14,107,3,31,76,46,54,53,32,12804,80.9,162.5,12,120,722436,41,12047.4,36,552.5,52356.8,1656.91,944073.37,2362.91,99.4,134103.24,335.65,14.1,218013.99,545.67,22.9,181485.74,454.24,19.1,84250.59,210.87,8.9,11045.99,27.65,1.2,20529.02,51.38,2.2
walton,2612,16,380,47,530,29,377,540,164,309,146,39,45132,203.6,553.1,60,170,440575,99,42082.9,94,885.7,164777.6,2617.89,151098.69,904.73,97.0,27264.03,163.25,17.5,54401.49,325.74,34.9,22469.28,134.54,14.4,14582.48,87.32,9.4,3494.3,20.92,2.2,5043.0,30.2,3.2
washington,459,19,68,14,88,4,30,67,59,38,32,38,10796,112.2,293.3,44,129,828557,28,2170.8,31,725.5,36842.0,1480.31,112598.23,1543.03,96.1,41063.39,562.73,35.1,31714.16,434.61,27.1,11788.87,161.55,10.1,12849.87,176.09,11.0,986.52,13.52,0.8,2571.18,35.24,2.2
